index	episode	episode_name	segment	type	actor	character	detail	record_date	series	transmission_date
11463	30	Episode Thirty	Gestures to indicate pauses in a televised talk	Dialogue	Michael Palin	Mr Orbiter	... with a large piece of wet paper.	12/11/1971 0:00	4-Mar	11/9/1972 0:00
11466	30	Episode Thirty	Neurotic announcers	Dialogue	Eric Idle	Adrian	"Good evening, we interrupt this programme again, a) to irritate you and, b) to provide work for one of our announcers."	12/11/1971 0:00	4-Mar	11/9/1972 0:00
11468	30	Episode Thirty	Neurotic announcers	Dialogue	John Cleese	Jack	"Good evening, I'm the announcer who's just been given this job by the BBC and I'd just like to say how grateful I am to the BBC for providing me with work, particularly at this time of year, when things are a bit thin for us announcers... um... I don't know whether I should tell you this, but, well, I have been going through a rather tough time recently. Things have been pretty awful at home. My wife, Josephine... 'Joe-jums' as I call her ... who is also an announcer..."	12/11/1971 0:00	4-Mar	11/9/1972 0:00
11469	30	Episode Thirty	Neurotic announcers	Dialogue	Carol Cleveland	Joe-jums	Hello.	12/11/1971 0:00	4-Mar	11/9/1972 0:00
11470	30	Episode Thirty	Neurotic announcers	Dialogue	John Cleese	Jack	"... has not been able to announce since our youngest, Clifford, was born, and, well,"	12/11/1971 0:00	4-Mar	11/9/1972 0:00
11473	30	Episode Thirty	Neurotic announcers	Dialogue	Michael Palin	Dick	"Hello, I'm another announcer, my name's Dick. Joe-jums just rang me and said Jack was having a bad time with this announcement, so I've just come to give him a hand. How is he, Joe-jums?"	12/11/1971 0:00	4-Mar	11/9/1972 0:00
11474	30	Episode Thirty	Neurotic announcers	Dialogue	Carol Cleveland	Joe-jums	"Pretty bad, Dick."	12/11/1971 0:00	4-Mar	11/9/1972 0:00
11475	30	Episode Thirty	Neurotic announcers	Dialogue	Michael Palin	Dick	Jack... it's Dick... Do you want me to make the announcement?	12/11/1971 0:00	4-Mar	11/9/1972 0:00
11476	30	Episode Thirty	Neurotic announcers	Dialogue	John Cleese	Jack	"No, no Dick. I must do it myself..."	12/11/1971 0:00	4-Mar	11/9/1972 0:00
11478	30	Episode Thirty	Neurotic announcers	Dialogue	John Cleese	Jack	"it's my last chance with the BBC, I can't throw it away... I've got to do it ... for Joe-jums... for the kids... I've got to go through with it..."	12/11/1971 0:00	4-Mar	11/9/1972 0:00
11479	30	Episode Thirty	Neurotic announcers	Dialogue	Michael Palin	Dick	"Good man. Now remember your announcer's training: deep breaths, and try not to think about what you're saying..."	12/11/1971 0:00	4-Mar	11/9/1972 0:00
11480	30	Episode Thirty	Neurotic announcers	Dialogue	John Cleese	Jack	Good evening. This	12/11/1971 0:00	4-Mar	11/9/1972 0:00
11482	30	Episode Thirty	Neurotic announcers	Dialogue	John Cleese	Jack	is BBC 1...	12/11/1971 0:00	4-Mar	11/9/1972 0:00
11483	30	Episode Thirty	Neurotic announcers	Dialogue	Carol Cleveland	Joe-jums	"Good luck, Jack."	12/11/1971 0:00	4-Mar	11/9/1972 0:00
11484	30	Episode Thirty	Neurotic announcers	Dialogue	Michael Palin	Dick	"Keep going, old boy."	12/11/1971 0:00	4-Mar	11/9/1972 0:00
11485	30	Episode Thirty	Neurotic announcers	Dialogue	John Cleese	Jack	It's... nine o'clock... and... time... for... the News... read by... Richard Baker.	12/11/1971 0:00	4-Mar	11/9/1972 0:00
11487	30	Episode Thirty	Neurotic announcers	Dialogue	Carol Cleveland	Joe-jums	You've done it.	12/11/1971 0:00	4-Mar	11/9/1972 0:00
11488	30	Episode Thirty	Neurotic announcers	Dialogue	Michael Palin	Dick	"Congratulations, old man!"	12/11/1971 0:00	4-Mar	11/9/1972 0:00
11490	30	Episode Thirty	Neurotic announcers	Dialogue	Carol Cleveland	Joe-jums	"Fantastic darling, you were brilliant. No, no, it was the best you ever did."	12/11/1971 0:00	4-Mar	11/9/1972 0:00
11491	30	Episode Thirty	Neurotic announcers	Dialogue	John Cleese	Jack	Thank God.	12/11/1971 0:00	4-Mar	11/9/1972 0:00
11492	30	Episode Thirty	Neurotic announcers	Dialogue	Carol Cleveland	Joe-jums	It was absolutely super.	12/11/1971 0:00	4-Mar	11/9/1972 0:00
11493	30	Episode Thirty	Neurotic announcers	Dialogue	Michael Palin	Dick	... have a drink. For God's sake drink this...	12/11/1971 0:00	4-Mar	11/9/1972 0:00
11494	30	Episode Thirty	Neurotic announcers	Dialogue	John Cleese	Jack	Fantastic.	12/11/1971 0:00	4-Mar	11/9/1972 0:00
11495	30	Episode Thirty	Neurotic announcers	Dialogue	Michael Palin	Dick	The least I could do - super - I must come over.	12/11/1971 0:00	4-Mar	11/9/1972 0:00
11496	30	Episode Thirty	Neurotic announcers	Dialogue	John Cleese	Jack	I can't tell you how much that means.	12/11/1971 0:00	4-Mar	11/9/1972 0:00
11499	30	Episode Thirty	The news with Richard Baker			Baker	... until the name Maudling is almost totally obscured. That is the ned of the nicro-not wens. And now it's time for the late night film.	12/11/1971 0:00	4-Mar	11/9/1972 0:00
11501	30	Episode Thirty	'The Pantomime Horse is a Secret Agent'				THE PANTOMIME HORSE IS A SECRET AGENT FILM.	12/11/1971 0:00	4-Mar	11/9/1972 0:00
11502	30	Episode Thirty	'The Pantomime Horse is a Secret Agent'				WRITTEN BY TALBOT ROTHWELL AND MIREILLE MATHIEU.	12/11/1971 0:00	4-Mar	11/9/1972 0:00
11503	30	Episode Thirty	'The Pantomime Horse is a Secret Agent'				BASED ON AN IDEA BY EDWARD VII.	12/11/1971 0:00	4-Mar	11/9/1972 0:00
11504	30	Episode Thirty	'The Pantomime Horse is a Secret Agent'				DIRECTED BY QUEEN JULIANA OF THE NETHERLANDS.	12/11/1971 0:00	4-Mar	11/9/1972 0:00
11505	30	Episode Thirty	'The Pantomime Horse is a Secret Agent'				PRODUCED BY SIR ALEC DOUGLAS-HOME AND KING HAAKON OF NORWAY.	12/11/1971 0:00	4-Mar	11/9/1972 0:00
11506	30	Episode Thirty	'The Pantomime Horse is a Secret Agent'				A CORPSE-HAKKON PRODUCTION.	12/11/1971 0:00	4-Mar	11/9/1972 0:00
11508	30	Episode Thirty	'The Pantomime Horse is a Secret Agent'	Dialogue	Carol Cleveland	Girl	"Oh pantomime horse, that was wonderful."	12/11/1971 0:00	4-Mar	11/9/1972 0:00
11509	30	Episode Thirty	'The Pantomime Horse is a Secret Agent'	Dialogue		Dobbin	Would you like another glass?	12/11/1971 0:00	4-Mar	11/9/1972 0:00
11510	30	Episode Thirty	'The Pantomime Horse is a Secret Agent'	Dialogue	Carol Cleveland	Girl	"No, no, I mustn't. It makes me throw up... oh, I'm so bleeding happy."	12/11/1971 0:00	4-Mar	11/9/1972 0:00
11511	30	Episode Thirty	'The Pantomime Horse is a Secret Agent'	Dialogue		Dobbin	"Oh, Simone!"	12/11/1971 0:00	4-Mar	11/9/1972 0:00
11512	30	Episode Thirty	'The Pantomime Horse is a Secret Agent'	Dialogue	Carol Cleveland	Girl	"Oh, pantomime horse."	12/11/1971 0:00	4-Mar	11/9/1972 0:00
11514	30	Episode Thirty	'The Pantomime Horse is a Secret Agent'	Dialogue	Graham Chapman	Loony	Then...	12/11/1971 0:00	4-Mar	11/9/1972 0:00
11516	30	Episode Thirty	'The Pantomime Horse is a Secret Agent'	Dialogue	John Cleese	Voice Over	"And now the English pantomime horse has very nearly caught up with the Russian pantomime horse, I think he's going to take him any moment now but what is this? What is this?"	12/11/1971 0:00	4-Mar	11/9/1972 0:00
11519	30	Episode Thirty	'The Pantomime Horse is a Secret Agent'	Dialogue	John Cleese	Voice Over	My goodness me it's the Duke of Kent to the rescue...	12/11/1971 0:00	4-Mar	11/9/1972 0:00
11558	30	Episode Thirty	'The Pantomime Horse is a Secret Agent'	Dialogue	John Cleese	Voice Over	"Here you see some English comic actors engaged in a life or death struggle with a rather weak ending. This is typical of the zany madcap world of the irresistible kooky funsters. The English pantomime horse wins and so is assured of a place in British history and a steady job in a merchant bank. Unfortunately, before his pension rights are assured, he catches bronchitis and dies, another victim of the need to finish these shows on time."	12/11/1971 0:00	4-Mar	11/9/1972 0:00
11562	31	Episode Thirty-one: The All-England Summarize Proust Competition		Dialogue	John Cleese	Announcer	And now...	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11563	31	Episode Thirty-one: The All-England Summarize Proust Competition		Dialogue	Michael Palin	It's Man	It's...	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11565	31	Episode Thirty-one: The All-England Summarize Proust Competition		Dialogue	John Cleese	Voice Over	Monty Python's Flying Circuses...	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11567	31	Episode Thirty-one: The All-England Summarize Proust Competition	'Summarize Proust Competition'	Dialogue	Eric Idle	Voice Over	"Good evening, and welcome to the Arthur Ludlow Memorial Baths, Newport, for this year's finals of the All-England Summarize Proust Competition."	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11570	31	Episode Thirty-one: The All-England Summarize Proust Competition	'Summarize Proust Competition'	Dialogue	Eric Idle	Voice Over	"Alec and Eric Bedser, ex-Surrey cricketers, Stewart Surridge, ex-captain of Surrey, Omar Sharif, Laurie Fishlock, ex-Surrey opening batsman, Peter May, the former Surrey and England Captain, and Yehudi Menuhin, the world-famous violinist and the President of the Surrey Cricket Club. And right now it's time to meet your host for tonight Arthur Mee!"	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11572	31	Episode Thirty-one: The All-England Summarize Proust Competition	'Summarize Proust Competition'	Dialogue	Terry Jones	Mee	"Good evening and welcome, whereas Proust would say, 'la malade imaginaire de recondition et de toute surveillance est bientôt la même chose'."	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11577	31	Episode Thirty-one: The All-England Summarize Proust Competition	'Summarize Proust Competition'	Dialogue	Terry Jones	Mee	.	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11579	31	Episode Thirty-one: The All-England Summarize Proust Competition	'Summarize Proust Competition'	Dialogue	Graham Chapman	Harry	"Proust's novel ostensibly tells of the irrevocability of time lost, the forfeiture of innocence through experience, the reinstallment of extra-temporal values of time regained, ultimately the novel is both optimistic and set within the context of a humane religious experience, re-stating as it does the concept of intemporality. In the first volume, Swarm, the family friend visits..."	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11581	31	Episode Thirty-one: The All-England Summarize Proust Competition	'Summarize Proust Competition'	Dialogue	Terry Jones	Mee	"Well tried, Harry."	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11582	31	Episode Thirty-one: The All-England Summarize Proust Competition	'Summarize Proust Competition'	Dialogue	Eric Idle	Voice Over	"A good attempt there but unfortunately he chose a general appraisal of the work, before getting on to the story and as you can see"	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11584	31	Episode Thirty-one: The All-England Summarize Proust Competition	'Summarize Proust Competition'	Dialogue	Eric Idle	Voice Over	"he only got as far as page one of 'Swarm's Way', the first of the seven volumes. A good try though and very nice posture."	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11586	31	Episode Thirty-one: The All-England Summarize Proust Competition	'Summarize Proust Competition'	Dialogue	Terry Jones	Mee	"Harry Bagot, you're from Luton?"	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11587	31	Episode Thirty-one: The All-England Summarize Proust Competition	'Summarize Proust Competition'	Dialogue	Graham Chapman	Harry	"Yes, Arthur, yeah."	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11588	31	Episode Thirty-one: The All-England Summarize Proust Competition	'Summarize Proust Competition'	Dialogue	Terry Jones	Mee	Now Harry what made you first want to try and start summarizing Proust?	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11589	31	Episode Thirty-one: The All-England Summarize Proust Competition	'Summarize Proust Competition'	Dialogue	Graham Chapman	Harry	"Well I first entered a seaside Summarizing Proust Competition when I was on holiday in Bournemouth, and my doctor encouraged me with it."	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11590	31	Episode Thirty-one: The All-England Summarize Proust Competition	'Summarize Proust Competition'	Dialogue	Terry Jones	Mee	"And Harry, what are your hobbies outside summarizing?"	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11591	31	Episode Thirty-one: The All-England Summarize Proust Competition	'Summarize Proust Competition'	Dialogue	Graham Chapman	Harry	"Well, strangling animals, golf and masturbating."	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11592	31	Episode Thirty-one: The All-England Summarize Proust Competition	'Summarize Proust Competition'	Dialogue	Terry Jones	Mee	"Well, thank you Harry Bagot."	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11594	31	Episode Thirty-one: The All-England Summarize Proust Competition	'Summarize Proust Competition'	Dialogue	Eric Idle	Voice Over	"Well there he goes. Harry Bagot. He must have let himself down a bit on the hobbies, golf's not very popular around here, but never mind, a good try."	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11595	31	Episode Thirty-one: The All-England Summarize Proust Competition	'Summarize Proust Competition'	Dialogue	Terry Jones	Mee	"Thank you ladies and gentlemen. Mr Rutherford from Leicester, are you ready Ronald?"	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11597	31	Episode Thirty-one: The All-England Summarize Proust Competition	'Summarize Proust Competition'	Dialogue	Terry Jones	Mee	Right. On the summarizing spot. You have got fifteen seconds from now.	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11598	31	Episode Thirty-one: The All-England Summarize Proust Competition	'Summarize Proust Competition'	Dialogue	Michael Palin	Ronald	"Er, well, Swann, Swann, there's this house, there's this house, and er, it's in the morning, it's in the morning - no, it's the evening, in the evening and er, there's a garden and er, this bloke comes in - bloke comes in - what's his name - what's his name, er just said it - big bloke - Swann, Swann"	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11600	31	Episode Thirty-one: The All-England Summarize Proust Competition	'Summarize Proust Competition'	Dialogue	Terry Jones	Mee	"And now ladies and gentlemen, I'd like you to welcome the last of our all-England finalists this evening, from Bingley, the Bolton Choral Society and their leader Superintendent McGough,"	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11602	31	Episode Thirty-one: The All-England Summarize Proust Competition	'Summarize Proust Competition'	Dialogue	Terry Jones	Mee	"All right Bingley, remember you've got fifteen seconds to summarize Proust in his entirety starting from now."	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11603	31	Episode Thirty-one: The All-England Summarize Proust Competition	'Summarize Proust Competition'	Dialogue		First Soloist	"Proust, in his first book wrote about... fa la la..."	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11604	31	Episode Thirty-one: The All-England Summarize Proust Competition	'Summarize Proust Competition'	Dialogue		Second Soloist	Proust in his first book wrote about...	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11605	31	Episode Thirty-one: The All-England Summarize Proust Competition	'Summarize Proust Competition'	Dialogue		Tenors	He wrote about...	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11609	31	Episode Thirty-one: The All-England Summarize Proust Competition	'Summarize Proust Competition'	Dialogue	Eric Idle	Voice Over	"Very ambitious try there, but in fact the least successful of the evening, they didn't even get as far as the first volume."	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11611	31	Episode Thirty-one: The All-England Summarize Proust Competition	'Summarize Proust Competition'	Dialogue	Terry Jones	Mee	"Well ladies and gentlemen, I don't think any of our contestants this evening have succeeded in encapsulating the intricacies of Proust's masterwork, so I'm going to award the first prize this evening to the girl with the biggest tits."	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11618	31	Episode Thirty-one: The All-England Summarize Proust Competition	Everest climbed by hairdressers	Dialogue	Michael Palin	Voice Over	Mount Everest. Forbidding. Aloof. Terrifying. The mountain with the biggest tits in the world.	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11620	31	Episode Thirty-one: The All-England Summarize Proust Competition	Everest climbed by hairdressers	Dialogue	Eric Idle	Second Voice Over	Start again!	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11622	31	Episode Thirty-one: The All-England Summarize Proust Competition	Everest climbed by hairdressers	Dialogue	Michael Palin	Voice Over	"Mount Everest. Forbidding. Aloof. Terrifying. This year, this remote Himalayan mountain, this mystical temple, surrounded by the most difficult terrain in the world, repulsed yet another attempt to conquer it. This time, by the International Hairdresser's Expedition."	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11624	31	Episode Thirty-one: The All-England Summarize Proust Competition	Everest climbed by hairdressers	Dialogue	Michael Palin	Voice Over	"In such freezing, adverse conditions, man comes very close to breaking point. What was the real cause of the disharmony which destroyed their chances at success?"	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11626	31	Episode Thirty-one: The All-England Summarize Proust Competition	Everest climbed by hairdressers	Dialogue	Michael Palin	First Climber	"Well, people would keep taking my hairdryer and never returning it."	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11627	31	Episode Thirty-one: The All-England Summarize Proust Competition	Everest climbed by hairdressers	Dialogue	Graham Chapman	Second Climber	There was a lot of bitching in the tents.	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11628	31	Episode Thirty-one: The All-England Summarize Proust Competition	Everest climbed by hairdressers	Dialogue	Eric Idle	Third Climber	You couldn't get near the mirror.	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11630	31	Episode Thirty-one: The All-England Summarize Proust Competition	Everest climbed by hairdressers	Dialogue	Michael Palin	Voice Over	"The leader of the expedition was Colonel Sir John 'Teasy-Weasy' Butler, veteran of K2, Annapurna, and Vidals. His plan was to ignore the usual route around the South Col and to make straight for the top."	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11632	31	Episode Thirty-one: The All-England Summarize Proust Competition	Everest climbed by hairdressers	Dialogue	Graham Chapman	Colonel	"We established base salon here,"	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11635	31	Episode Thirty-one: The All-England Summarize Proust Competition	Everest climbed by hairdressers	Dialogue	Graham Chapman	Colonel	"From here using crampons and cutting ice steps as we went, we moved steadily up the Lhotse Face to the North Ridge, establishing camp three where we could get a hot meal, a manicure, and a shampoo and set."	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11637	31	Episode Thirty-one: The All-England Summarize Proust Competition	Everest climbed by hairdressers	Dialogue	Michael Palin	Voice Over	Could it work? Could this eighteen-year old hairdresser from Brixton succeed where others had failed? The situation was complicated by the imminent arrival of the monsoon storms. Patrice takes up the story.	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11639	31	Episode Thirty-one: The All-England Summarize Proust Competition	Everest climbed by hairdressers	Dialogue	Eric Idle	Patrice	"Well, we knew as well as anyone that the monsoons were due, but the thing was, Ricky and I had just had a blow dry and rinse, and we couldn't go out for a couple of days."	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11641	31	Episode Thirty-one: The All-England Summarize Proust Competition	Everest climbed by hairdressers	Dialogue	Michael Palin	Voice Over	"After a blazing row, the Germans and Italians had turned back, taking with them the last of the hair nets. On the third day a blizzard blew up."	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11643	31	Episode Thirty-one: The All-England Summarize Proust Competition	Everest climbed by hairdressers	Dialogue	Michael Palin	Voice Over	"Temperatures fell to minus thirty centigrade. Inside the little tent, things were getting desperate."	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11645	31	Episode Thirty-one: The All-England Summarize Proust Competition	Everest climbed by hairdressers	Dialogue	Michael Palin	Ricky	"Well, things have got so bad that we've been forced to use the last of the heavy oxygen equipment just to keep the dryers going."	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11648	31	Episode Thirty-one: The All-England Summarize Proust Competition	Everest climbed by hairdressers	Dialogue	Michael Palin	Ricky	"Oh, she's a treas."	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11651	31	Episode Thirty-one: The All-England Summarize Proust Competition	Everest climbed by hairdressers	Dialogue	Michael Palin	Voice Over	"But a new factor had entered the race. A team of French chiropodists, working with brand new cornplasters and Doctor Scholl's Mountaineering Sandals, were covering ground fast. The Glasgow Orpheus Male Voice Choir were tackling the difficult North Col."	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11654	31	Episode Thirty-one: The All-England Summarize Proust Competition	Everest climbed by hairdressers	Dialogue	Michael Palin	Voice Over	were at his heels. This was it. Ricky had to make a decision.	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11656	31	Episode Thirty-one: The All-England Summarize Proust Competition	Everest climbed by hairdressers	Dialogue	Eric Idle	Patrice	"Well, he decided to open a salon."	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11657	31	Episode Thirty-one: The All-England Summarize Proust Competition	Everest climbed by hairdressers	Dialogue	Michael Palin	Voice Over	It was a tremendous success.	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11659	31	Episode Thirty-one: The All-England Summarize Proust Competition	Everest climbed by hairdressers	Dialogue	Eric Idle	Advert Voice	"Challenging Everest? Why not drop in at Ricky Pules' - only 24,000 feet from this cinema. Ricky and Maurice offer a variety of styles for the well-groomed climber. Like Sherpa Tensing and Sir Edmond Hillary be number one on top, when you're Number One on Top?"	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11662	31	Episode Thirty-one: The All-England Summarize Proust Competition	Fire brigade	Dialogue	Terry Jones	Mrs Little	"Hello, is that the fire brigade?"	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11664	31	Episode Thirty-one: The All-England Summarize Proust Competition	Fire brigade	Dialogue	Michael Palin	First Fireman	"No, sorry, wrong number."	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11666	31	Episode Thirty-one: The All-England Summarize Proust Competition	Fire brigade	Dialogue	Eric Idle	Second Fireman	That phone's not stopped ringing all day.	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11667	31	Episode Thirty-one: The All-England Summarize Proust Competition	Fire brigade	Dialogue		Third Fireman	"What happens when you've mixed the batter, do you dice the ham with the coriander?"	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11668	31	Episode Thirty-one: The All-England Summarize Proust Competition	Fire brigade	Dialogue	Michael Palin	First Fireman	"No, no, you put them in separately when the vine leaves are ready."	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11670	31	Episode Thirty-one: The All-England Summarize Proust Competition	Fire brigade	Dialogue	Eric Idle	Second Fireman	"Oh, no, not again."	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11671	31	Episode Thirty-one: The All-England Summarize Proust Competition	Fire brigade	Dialogue		Third Fireman	Take it off the hook.	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11673	31	Episode Thirty-one: The All-England Summarize Proust Competition	Fire brigade	Dialogue	Terry Jones	Mrs Little	I can't get the fire brigade Mervyn.	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11675	31	Episode Thirty-one: The All-England Summarize Proust Competition	Fire brigade	Dialogue	John Cleese	Mervyn	"Here, let me try, dear. You go and play the cello."	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11676	31	Episode Thirty-one: The All-England Summarize Proust Competition	Fire brigade	Dialogue	Terry Jones	Mrs Little	"Oh it doesn't do any good, dear."	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11677	31	Episode Thirty-one: The All-England Summarize Proust Competition	Fire brigade	Dialogue	John Cleese	Mervyn	Look. Do you want the little hamster to live or not?	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11678	31	Episode Thirty-one: The All-England Summarize Proust Competition	Fire brigade	Dialogue	Terry Jones	Mrs Little	"Yes I do, Mervyn."	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11679	31	Episode Thirty-one: The All-England Summarize Proust Competition	Fire brigade	Dialogue	John Cleese	Mervyn	Well go and play the cello!	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11681	31	Episode Thirty-one: The All-England Summarize Proust Competition	Fire brigade	Dialogue	John Cleese	Mervyn	"Hello, hello, operator? Yes we're trying to get the fire brigade ... No, the fire brigade. Yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, what? ..."	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11683	31	Episode Thirty-one: The All-England Summarize Proust Competition	Fire brigade	Dialogue	John Cleese	Mervyn	"Size eight. Yes, yes, yes, yes, yes, yes, no of course not, Yes..."	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11686	31	Episode Thirty-one: The All-England Summarize Proust Competition	Fire brigade	Dialogue	Terry Jones	Mrs Little	"He's gone, dear."	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11687	31	Episode Thirty-one: The All-England Summarize Proust Competition	Fire brigade	Dialogue	John Cleese	Mervyn	What?	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11688	31	Episode Thirty-one: The All-England Summarize Proust Competition	Fire brigade	Dialogue	Terry Jones	Mrs Little	He's slipped away.	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11689	31	Episode Thirty-one: The All-England Summarize Proust Competition	Fire brigade	Dialogue	Terry Jones	Mrs Little	The sodding hamster's dead!	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11691	31	Episode Thirty-one: The All-England Summarize Proust Competition	Fire brigade	Dialogue	John Cleese	Mervyn	Oh no!! What were you playing?	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11692	31	Episode Thirty-one: The All-England Summarize Proust Competition	Fire brigade	Dialogue	Terry Jones	Mrs Little	"Some Mozart concertos, dear."	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11693	31	Episode Thirty-one: The All-England Summarize Proust Competition	Fire brigade	Dialogue	John Cleese	Mervyn	What... How did he... ?	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11694	31	Episode Thirty-one: The All-England Summarize Proust Competition	Fire brigade	Dialogue	Terry Jones	Mrs Little	"His eyes just closed, and he fell into the wastepaper basket. I've covered him with a copy of the 'Charlie George Football Book'."	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11696	31	Episode Thirty-one: The All-England Summarize Proust Competition	Fire brigade	Dialogue	John Cleese	Mervyn	"Right, you hang on. I must go and see him."	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11697	31	Episode Thirty-one: The All-England Summarize Proust Competition	Fire brigade	Dialogue	Terry Jones	Mrs Little	"There was nothing we could do, Mervyn. If we'd have had the whole Philharmonic Orchestra in there, he'd still have gone."	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11698	31	Episode Thirty-one: The All-England Summarize Proust Competition	Fire brigade	Dialogue	John Cleese	Mervyn	"I'm going upstairs, I can't bear it."	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11700	31	Episode Thirty-one: The All-England Summarize Proust Competition	Fire brigade	Dialogue	Terry Jones	Mrs Little	"There isn't an upstairs dear, it's a bungalow."	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11701	31	Episode Thirty-one: The All-England Summarize Proust Competition	Fire brigade	Dialogue	John Cleese	Mervyn	Damn.	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11705	31	Episode Thirty-one: The All-England Summarize Proust Competition	Fire brigade	Dialogue	Terry Jones	Mrs Little	"size three, yes it's just - we've lost a dear one and my son was ... yes, that's right, size eight, yes and... Oh I see... yes, yes, yes, yes, yes, I see, yes, yes, I, I ... Yes, yes. No ... no... yes, I see. They can't get the fire brigade Mervyn - will the Boys' Brigade do?"	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11707	31	Episode Thirty-one: The All-England Summarize Proust Competition	Fire brigade	Dialogue	John Cleese	Mervyn	No! They'd be useless!	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11708	31	Episode Thirty-one: The All-England Summarize Proust Competition	Fire brigade	Dialogue	Terry Jones	Mrs Little	"No, he doesn't want anyone at the moment, thank you. No, yes, yes, no thank you for trying, yes, yes, ... no, Saxones, yes, yes thank you, bye, bye."	4/24/1972 0:00	5-Mar	11/16/1972 0:00
11710	31	Episode Thirty-one: The All-England Summarize Proust Competition	Our Eamonn	Dialogue	Graham Chapman	Eamonn	Mummy!	4/24/1972 0:00	5-Mar	11/16/1972 0:00
